Date : 2023-12-20 13:28:47
Directory : /home/xiangui/ysyx-workbench/am-kernels
Total : 129 files,  34037 codes, 1449 comments, 1636 blanks, all 37122 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |         91 |     32,132 |      1,184 |      1,146 |     34,462 |
| C++      |         20 |      1,547 |        265 |        376 |      2,188 |
| Markdown |          2 |        236 |          0 |         65 |        301 |
| Makefile |         16 |        122 |          0 |         49 |        171 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                 |        129 |     34,037 |      1,449 |      1,636 |     37,122 |
| benchmarks                                                                        |         30 |      4,184 |      1,263 |        757 |      6,204 |
| benchmarks/coremark                                                               |         10 |      1,521 |        642 |        182 |      2,345 |
| benchmarks/coremark (Files)                                                       |          2 |        191 |          0 |         45 |        236 |
| benchmarks/coremark/include                                                       |          2 |        186 |        133 |         45 |        364 |
| benchmarks/coremark/src                                                           |          6 |      1,144 |        509 |         92 |      1,745 |
| benchmarks/dhrystone                                                              |          2 |        429 |        431 |         95 |        955 |
| benchmarks/microbench                                                             |         18 |      2,234 |        190 |        480 |      2,904 |
| benchmarks/microbench (Files)                                                     |          2 |         51 |          0 |         22 |         73 |
| benchmarks/microbench/include                                                     |          1 |         98 |          5 |         21 |        124 |
| benchmarks/microbench/src                                                         |         15 |      2,085 |        185 |        437 |      2,707 |
| benchmarks/microbench/src (Files)                                                 |          1 |        162 |          4 |         34 |        200 |
| benchmarks/microbench/src/15pz                                                    |          3 |        557 |         79 |        165 |        801 |
| benchmarks/microbench/src/bf                                                      |          1 |        113 |         22 |         17 |        152 |
| benchmarks/microbench/src/dinic                                                   |          1 |        117 |          0 |         22 |        139 |
| benchmarks/microbench/src/fib                                                     |          1 |         52 |          1 |         12 |         65 |
| benchmarks/microbench/src/lzip                                                    |          3 |        798 |         45 |        114 |        957 |
| benchmarks/microbench/src/md5                                                     |          1 |        108 |         22 |         30 |        160 |
| benchmarks/microbench/src/qsort                                                   |          1 |         36 |          0 |          9 |         45 |
| benchmarks/microbench/src/queen                                                   |          1 |         26 |          0 |          7 |         33 |
| benchmarks/microbench/src/sieve                                                   |          1 |         35 |          0 |          8 |         43 |
| benchmarks/microbench/src/ssort                                                   |          1 |         81 |         12 |         19 |        112 |
| kernels                                                                           |         45 |      6,095 |        171 |        497 |      6,763 |
| kernels/demo                                                                      |         12 |        870 |         69 |        116 |      1,055 |
| kernels/demo (Files)                                                              |          1 |          3 |          0 |          1 |          4 |
| kernels/demo/include                                                              |          1 |         81 |          0 |         17 |         98 |
| kernels/demo/src                                                                  |         10 |        786 |         69 |         98 |        953 |
| kernels/demo/src (Files)                                                          |          1 |         40 |          0 |          5 |         45 |
| kernels/demo/src/aclock                                                           |          1 |        184 |         23 |         13 |        220 |
| kernels/demo/src/ant                                                              |          1 |         56 |          1 |         14 |         71 |
| kernels/demo/src/bf                                                               |          2 |        219 |         18 |          9 |        246 |
| kernels/demo/src/cmatrix                                                          |          1 |         50 |         12 |         11 |         73 |
| kernels/demo/src/donut                                                            |          1 |         61 |         12 |         10 |         83 |
| kernels/demo/src/galton                                                           |          1 |         82 |          1 |         14 |         97 |
| kernels/demo/src/hanoi                                                            |          1 |         47 |          1 |         13 |         61 |
| kernels/demo/src/life                                                             |          1 |         47 |          1 |          9 |         57 |
| kernels/hello                                                                     |          2 |         14 |          0 |          4 |         18 |
| kernels/litenes                                                                   |         19 |      4,727 |         99 |        282 |      5,108 |
| kernels/litenes (Files)                                                           |          1 |          3 |          0 |          1 |          4 |
| kernels/litenes/src                                                               |         18 |      4,724 |         99 |        281 |      5,104 |
| kernels/nemu                                                                      |          1 |         24 |          0 |          8 |         32 |
| kernels/slider                                                                    |          2 |         28 |          1 |          8 |         37 |
| kernels/snake                                                                     |          2 |        161 |          0 |         32 |        193 |
| kernels/thread-os                                                                 |          2 |         59 |          2 |         14 |         75 |
| kernels/typing-game                                                               |          3 |        182 |          0 |         27 |        209 |
| kernels/yield-os                                                                  |          2 |         30 |          0 |          6 |         36 |
| tests                                                                             |         54 |     23,758 |         15 |        382 |     24,155 |
| tests/alu-tests                                                                   |          3 |     22,475 |          7 |         27 |     22,509 |
| tests/alu-tests (Files)                                                           |          2 |        110 |          7 |         26 |        143 |
| tests/alu-tests/build                                                             |          1 |     22,365 |          0 |          1 |     22,366 |
| tests/am-tests                                                                    |         12 |        371 |          2 |         73 |        446 |
| tests/am-tests (Files)                                                            |          1 |          3 |          0 |          1 |          4 |
| tests/am-tests/include                                                            |          1 |         19 |          0 |          6 |         25 |
| tests/am-tests/src                                                                |         10 |        349 |          2 |         66 |        417 |
| tests/am-tests/src (Files)                                                        |          1 |         36 |          0 |          4 |         40 |
| tests/am-tests/src/tests                                                          |          9 |        313 |          2 |         62 |        377 |
| tests/cpu-tests                                                                   |         37 |        843 |          4 |        261 |      1,108 |
| tests/cpu-tests (Files)                                                           |          1 |         26 |          0 |         11 |         37 |
| tests/cpu-tests/include                                                           |          1 |         10 |          0 |          4 |         14 |
| tests/cpu-tests/tests                                                             |         35 |        807 |          4 |        246 |      1,057 |
| tests/klib-tests                                                                  |          2 |         69 |          2 |         21 |         92 |
| tests/klib-tests (Files)                                                          |          1 |         28 |          0 |         14 |         42 |
| tests/klib-tests/tests                                                            |          1 |         41 |          2 |          7 |         50 |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                          | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/xiangui/ysyx-workbench/am-kernels/benchmarks/coremark/Makefile              | Makefile |          3 |          0 |          1 |          4 |
| /home/xiangui/ysyx-workbench/am-kernels/benchmarks/coremark/README.md             | Markdown |        188 |          0 |         44 |        232 |
| /home/xiangui/ysyx-workbench/am-kernels/benchmarks/coremark/include/core_portme.h | C++      |         79 |         90 |         20 |        189 |
| /home/xiangui/ysyx-workbench/am-kernels/benchmarks/coremark/include/coremark.h    | C++      |        107 |         43 |         25 |        175 |
| /home/xiangui/ysyx-workbench/am-kernels/benchmarks/coremark/src/core_list_join.c  | C        |        270 |        195 |         32 |        497 |
| /home/xiangui/ysyx-workbench/am-kernels/benchmarks/coremark/src/core_main.c       | C        |        263 |         62 |         15 |        340 |
| /home/xiangui/ysyx-workbench/am-kernels/benchmarks/coremark/src/core_matrix.c     | C        |        184 |        108 |         17 |        309 |
| /home/xiangui/ysyx-workbench/am-kernels/benchmarks/coremark/src/core_portme.c     | C        |         54 |         46 |         10 |        110 |
| /home/xiangui/ysyx-workbench/am-kernels/benchmarks/coremark/src/core_state.c      | C        |        208 |         60 |         10 |        278 |
| /home/xiangui/ysyx-workbench/am-kernels/benchmarks/coremark/src/core_util.c       | C        |        165 |         38 |          8 |        211 |
| /home/xiangui/ysyx-workbench/am-kernels/benchmarks/dhrystone/Makefile             | Makefile |          3 |          0 |          1 |          4 |
| /home/xiangui/ysyx-workbench/am-kernels/benchmarks/dhrystone/dry.c                | C        |        426 |        431 |         94 |        951 |
| /home/xiangui/ysyx-workbench/am-kernels/benchmarks/microbench/Makefile            | Makefile |          3 |          0 |          1 |          4 |
| /home/xiangui/ysyx-workbench/am-kernels/benchmarks/microbench/README.md           | Markdown |         48 |          0 |         21 |         69 |
