Date : 2023-12-20 13:31:11
Directory : /home/xiangui/ysyx-workbench/nemu
Total : 126 files,  13281 codes, 3044 comments, 2456 blanks, all 18781 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |         77 |     11,316 |      2,156 |      1,920 |     15,392 |
| C++      |         29 |      1,485 |        690 |        385 |      2,560 |
| Makefile |         16 |        259 |        198 |        102 |        559 |
| Markdown |          4 |        221 |          0 |         49 |        270 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                          |        126 |     13,281 |      3,044 |      2,456 |     18,781 |
| . (Files)                                                                  |          2 |         63 |         22 |         13 |         98 |
| include                                                                    |         16 |        407 |        267 |        141 |        815 |
| include (Files)                                                            |          6 |        192 |        122 |         69 |        383 |
| include/cpu                                                                |          4 |        125 |         58 |         31 |        214 |
| include/device                                                             |          3 |         44 |         43 |         20 |        107 |
| include/memory                                                             |          3 |         46 |         44 |         21 |        111 |
| resource                                                                   |          4 |        582 |         40 |        155 |        777 |
| resource/debian                                                            |          1 |        141 |          0 |         32 |        173 |
| resource/mips-elf                                                          |          1 |          1 |          0 |          1 |          2 |
| resource/sdcard                                                            |          2 |        440 |         40 |        122 |        602 |
| scripts                                                                    |          3 |        103 |         36 |         43 |        182 |
| src                                                                        |         63 |      2,635 |      1,143 |        593 |      4,371 |
| src (Files)                                                                |          2 |         26 |         30 |          8 |         64 |
| src/cpu                                                                    |          3 |        223 |         74 |         53 |        350 |
| src/cpu (Files)                                                            |          1 |        121 |         29 |         21 |        171 |
| src/cpu/difftest                                                           |          2 |        102 |         45 |         32 |        179 |
| src/device                                                                 |         15 |        814 |        331 |        175 |      1,320 |
| src/device (Files)                                                         |         12 |        705 |        284 |        146 |      1,135 |
| src/device/io                                                              |          3 |        109 |         47 |         29 |        185 |
| src/engine                                                                 |          3 |         42 |         43 |         13 |         98 |
| src/engine (Files)                                                         |          1 |          2 |         14 |          2 |         18 |
| src/engine/interpreter                                                     |          2 |         40 |         29 |         11 |         80 |
| src/isa                                                                    |         28 |        588 |        450 |        166 |      1,204 |
| src/isa (Files)                                                            |          1 |          2 |         14 |          2 |         18 |
| src/isa/loongarch32r                                                       |          9 |        125 |        142 |         55 |        322 |
| src/isa/loongarch32r (Files)                                               |          4 |         77 |         62 |         27 |        166 |
| src/isa/loongarch32r/difftest                                              |          1 |          8 |         20 |          6 |         34 |
| src/isa/loongarch32r/include                                               |          1 |         14 |         15 |          7 |         36 |
| src/isa/loongarch32r/local-include                                         |          1 |         13 |         14 |          7 |         34 |
| src/isa/loongarch32r/system                                                |          2 |         13 |         31 |          8 |         52 |
| src/isa/mips32                                                             |          9 |        175 |        148 |         55 |        378 |
| src/isa/mips32 (Files)                                                     |          4 |        126 |         74 |         29 |        229 |
| src/isa/mips32/difftest                                                    |          1 |          8 |         14 |          4 |         26 |
| src/isa/mips32/include                                                     |          1 |         15 |         15 |          7 |         37 |
| src/isa/mips32/local-include                                               |          1 |         13 |         14 |          7 |         34 |
| src/isa/mips32/system                                                      |          2 |         13 |         31 |          8 |         52 |
| src/isa/riscv32                                                            |          9 |        286 |        146 |         54 |        486 |
| src/isa/riscv32 (Files)                                                    |          4 |        224 |         72 |         27 |        323 |
| src/isa/riscv32/difftest                                                   |          1 |         22 |         14 |          5 |         41 |
| src/isa/riscv32/include                                                    |          1 |         14 |         15 |          7 |         36 |
| src/isa/riscv32/local-include                                              |          1 |         13 |         14 |          7 |         34 |
| src/isa/riscv32/system                                                     |          2 |         13 |         31 |          8 |         52 |
| src/memory                                                                 |          2 |         67 |         30 |         19 |        116 |
| src/monitor                                                                |          5 |        736 |        115 |        127 |        978 |
| src/monitor (Files)                                                        |          1 |        188 |         27 |         33 |        248 |
| src/monitor/sdb                                                            |          4 |        548 |         88 |         94 |        730 |
| src/utils                                                                  |          5 |        139 |         70 |         32 |        241 |
| tools                                                                      |         38 |      9,491 |      1,536 |      1,511 |     12,538 |
| tools (Files)                                                              |          1 |         11 |         14 |          4 |         29 |
| tools/fixdep                                                               |          2 |        225 |        138 |         46 |        409 |
| tools/gen-expr                                                             |          2 |        111 |         30 |         25 |        166 |
| tools/kconfig                                                              |         20 |      8,210 |      1,112 |      1,216 |     10,538 |
| tools/kconfig (Files)                                                      |         13 |      6,328 |        832 |        905 |      8,065 |
| tools/kconfig/lxdialog                                                     |          7 |      1,882 |        280 |        311 |      2,473 |
| tools/kvm-diff                                                             |          3 |        333 |         58 |         59 |        450 |
| tools/kvm-diff (Files)                                                     |          1 |          6 |         14 |          4 |         24 |
| tools/kvm-diff/include                                                     |          1 |          0 |         15 |          2 |         17 |
| tools/kvm-diff/src                                                         |          1 |        327 |         29 |         53 |        409 |
| tools/qemu-diff                                                            |          8 |        471 |        156 |        132 |        759 |
| tools/qemu-diff (Files)                                                    |          1 |          6 |         14 |          4 |         24 |
| tools/qemu-diff/include                                                    |          3 |         64 |         46 |         21 |        131 |
| tools/qemu-diff/src                                                        |          4 |        401 |         96 |        107 |        604 |
| tools/spike-diff                                                           |          2 |        130 |         28 |         29 |        187 |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                   | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/xiangui/ysyx-workbench/nemu/Makefile                                 | Makefile |         30 |         22 |         10 |         62 |
| /home/xiangui/ysyx-workbench/nemu/README.md                                | Markdown |         33 |          0 |          3 |         36 |
| /home/xiangui/ysyx-workbench/nemu/include/common.h                         | C        |         26 |         14 |         10 |         50 |
| /home/xiangui/ysyx-workbench/nemu/include/cpu/cpu.h                        | C++      |          9 |         14 |          7 |         30 |
| /home/xiangui/ysyx-workbench/nemu/include/cpu/decode.h                     | C++      |         75 |         16 |         12 |        103 |
| /home/xiangui/ysyx-workbench/nemu/include/cpu/difftest.h                   | C++      |         33 |         14 |          7 |         54 |
| /home/xiangui/ysyx-workbench/nemu/include/cpu/ifetch.h                     | C++      |          8 |         14 |          5 |         27 |
| /home/xiangui/ysyx-workbench/nemu/include/debug.h                          | C++      |         22 |         14 |          8 |         44 |
| /home/xiangui/ysyx-workbench/nemu/include/device/alarm.h                   | C        |          6 |         14 |          5 |         25 |
| /home/xiangui/ysyx-workbench/nemu/include/device/map.h                     | C++      |         32 |         15 |         10 |         57 |
