"filename", "language", "Verilog", "C++", "Makefile", "vcd", "comment", "blank", "total"
"/home/xiangui/ysyx-workbench/npc/Makefile", "Makefile", 0, 0, 17, 0, 0, 6, 23
"/home/xiangui/ysyx-workbench/npc/csrc/ImmGen.cpp", "C++", 0, 62, 0, 0, 7, 10, 79
"/home/xiangui/ysyx-workbench/npc/csrc/RegisterFile.cpp", "C++", 0, 75, 0, 0, 0, 10, 85
"/home/xiangui/ysyx-workbench/npc/csrc/main.cpp", "C++", 0, 5, 0, 0, 0, 2, 7
"/home/xiangui/ysyx-workbench/npc/csrc/npc.cpp", "C++", 0, 75, 0, 0, 5, 13, 93
"/home/xiangui/ysyx-workbench/npc/csrc/pc.cpp", "C++", 0, 50, 0, 0, 0, 11, 61
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen.cpp", "C++", 0, 104, 0, 0, 23, 21, 148
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen.h", "C++", 0, 32, 0, 0, 32, 13, 77
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen.mk", "Makefile", 0, 0, 25, 0, 29, 15, 69
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen__ALL.cpp", "C++", 0, 7, 0, 0, 1, 1, 9
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen__Syms.cpp", "C++", 0, 15, 0, 0, 8, 4, 27
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen__Syms.h", "C++", 0, 17, 0, 0, 12, 11, 40
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen__Trace.cpp", "C++", 0, 67, 0, 0, 5, 6, 78
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen__Trace__Slow.cpp", "C++", 0, 100, 0, 0, 7, 10, 117
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen___024root.cpp", "C++", 0, 88, 0, 0, 10, 9, 107
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen___024root.h", "C++", 0, 22, 0, 0, 11, 16, 49
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen___024root__Slow.cpp", "C++", 0, 42, 0, 0, 7, 13, 62
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen_classes.mk", "Makefile", 0, 0, 22, 0, 22, 10, 54
